prop_handle,enum_value,term_value,http_status,passed,notes
alteration,t(7;22)(p22;q12),t(7;22)(p22;q12),200,True,
alteration,t(8;14)(q24;q32) or other variant of B-ALL,t(8;14)(q24;q32) or other variant of B-ALL,200,True,
alteration,t(8;16)MOZ/CBP,t(8;16)MOZ/CBP,200,True,
alteration,t(8;21),t(8;21),200,True,
alteration,t(8;8)(q21;q13),t(8;8)(q21;q13),200,True,
alteration,t(9;11)(p22;q23) / MLL-MLLT3(AF9),t(9;11)(p22;q23) / MLL-MLLT3(AF9),200,True,
alteration,t(9;15)(q22;q21),t(9;15)(q22;q21),200,True,
alteration,t(9;17)(q22;q11),t(9;17)(q22;q11),200,True,
alteration,t(9;17)(q22;q11.2),t(9;17)(q22;q11.2),200,True,
alteration,t(9;22)(q22-23;q11-12),t(9;22)(q22-23;q11-12),200,True,
alteration,t(9;22)(q22;q12),t(9;22)(q22;q12),200,True,
alteration,t(X;17)(p11.2;q25),t(X;17)(p11.2;q25),200,True,
alteration,t(X;18)(p11.21;q11),t(X;18)(p11.21;q11),200,True,
alteration,t(X;18)(p11.23;q11),t(X;18)(p11.23;q11),200,True,
alteration,t(X;20)(p11.2;q13.3),t(X;20)(p11.2;q13.3),200,True,
alteration,t(X;22((p11;q13),t(X;22((p11;q13),200,True,
alteration,t(X;4)(p11;q31),t(X;4)(p11;q31),200,True,
alteration,TAF15-NR4A3,TAF15-NR4A3,200,True,
alteration,TCF3-PBX1 Fusion,TCF3-PBX1 Fusion,200,True,
alteration,TLS/FEV,TLS/FEV,200,True,
alteration,TP53,TP53,200,True,
alteration,TP53 Mutation,TP53 Mutation,200,True,
alteration,Trisomy 10,Trisomy 10,200,True,
alteration,Trisomy 17,Trisomy 17,200,True,
alteration,Trisomy 21,Trisomy 21,200,True,
alteration,Trisomy 4,Trisomy 4,200,True,
alteration,Trisomy 8,Trisomy 8,200,True,
alteration,Unknown,Unknown,200,True,
alteration,WT1 mutation,WT1 mutation,200,True,
alteration,X Chromosome Inversion,X Chromosome Inversion,200,True,
alteration,ZC3H7B-BCOR,ZC3H7B-BCOR,200,True,
alteration_type,Chromosomal Gain,Chromosomal Gain,200,True,
alteration_type,Chromosomal Loss,Chromosomal Loss,200,True,
alteration_type,Chromothripsis,Chromothripsis,200,True,
alteration_type,Deletion,Deletion,200,True,
alteration_type,Duplication,Duplication,200,True,
alteration_type,Internal Tandem Duplication,Internal Tandem Duplication,200,True,
alteration_type,Inversion,Inversion,200,True,
alteration_type,Isochromosome,Isochromosome,200,True,
alteration_type,"Mutation, NOS","Mutation, NOS",200,True,
alteration_type,Other,Other,200,True,
alteration_type,Rearrangement,Rearrangement,200,True,
alteration_type,Substitution,Substitution,200,True,
alteration_type,Translocation,Translocation,200,True,
alteration_type,Insertion,Insertion,200,True,
alteration_type,Unknown,Unknown,200,True,
alteration_effect,Amplification,Amplification,200,True,
alteration_effect,Frameshift,Frameshift,200,True,
alteration_effect,Gene Fusion,Gene Fusion,200,True,
alteration_effect,Missense,Missense,200,True,
alteration_effect,Monosomy,Monosomy,200,True,
alteration_effect,None (inframe),None (inframe),200,True,
alteration_effect,Nullisomy,Nullisomy,200,True,
alteration_effect,Splice Acceptor,Splice Acceptor,200,True,
alteration_effect,Splice Donor,Splice Donor,200,True,
alteration_effect,Start Lost,Start Lost,200,True,
alteration_effect,Stop Gained,Nonsense Mutation,200,True,
alteration_effect,Stop Lost,Stop Lost,200,True,
alteration_effect,Synonymous,Synonymous,200,True,
alteration_effect,Trisomy,Trisomy,200,True,
alteration_effect,Not Reported,Not Reported,200,True,
status,Present,Present,200,True,
status,Absent,Absent,200,True,
status,Unknown,Unknown,200,True,
status,Not Done,Not Done,200,True,
study_status,Active,Active,200,True,
study_status,Completed,Completed,200,True,
study_status,Provisional,Provisional,200,True,
laterality,Bilateral,Bilateral,200,True,
laterality,Left,Left,200,True,
laterality,Midline,Midline,200,True,
laterality,Not Applicable,Not Applicable,200,True,
laterality,Not Reported,Not Reported,200,True,
laterality,Not Specified,Not Specified,200,True,
laterality,Right,Right,200,True,
laterality,Unknown,Unknown,200,True,
fixation_embedding_method,-80 degrees C,-80 degrees C,200,True,
fixation_embedding_method,Cytospin Slide,Centrifuged Smear Slide,200,True,
fixation_embedding_method,Cryopreservation in dry ice (dead tissue),Cryopreservation in dry ice (dead tissue),200,True,
fixation_embedding_method,Cryopreservation in liquid nitrogen (dead tissue),Cryopreservation in liquid nitrogen (dead tissue),200,True,
fixation_embedding_method,Cryopreservation of live cells in liquid nitrogen,Cryopreservation of live cells in liquid nitrogen,200,True,
fixation_embedding_method,Cryopreserved,Cryopreserved,200,True,
fixation_embedding_method,Formalin fixed - buffered,Formalin fixed - buffered,200,True,
fixation_embedding_method,Formalin fixed - unbuffered,Formalin fixed - unbuffered,200,True,
fixation_embedding_method,Formalin fixed paraffin embedded (FFPE),Formalin fixed paraffin embedded (FFPE),200,True,
fixation_embedding_method,Fresh,Fresh,200,True,
fixation_embedding_method,Fresh dissociated,Fresh dissociated,200,True,
fixation_embedding_method,Fresh dissociated and single cell sorted,Fresh dissociated and single cell sorted,200,True,
fixation_embedding_method,Fresh dissociated and single cell sorted into plates,Fresh dissociated and single cell sorted into plates,200,True,
fixation_embedding_method,Frozen,Frozen,200,True,
fixation_embedding_method,Liquid nitrogen,Liquid nitrogen,200,True,
fixation_embedding_method,Not reported,Not reported,200,True,
fixation_embedding_method,OCT,Optimal Cutting Temperature Compound,200,True,
fixation_embedding_method,Other,Other,200,True,
fixation_embedding_method,Snap frozen,Snap frozen,200,True,
fixation_embedding_method,Unknown,Unknown,200,True,
staining_method,H&E,Hematoxylin and Eosin Staining Method,200,True,
staining_method,IHC,Immunohistochemistry Staining Method,200,True,
staining_method,In situ hybridization,In situ hybridization,200,True,
staining_method,mIHC,Multiplexed Immunohistochemistry,200,True,
staining_method,Wright-Giemsa,Wright-Giemsa Staining Method,200,True,
staining_method,Other,Other,200,True,
deidentification_method,manual,manual,200,True,
deidentification_method,semiautomatic,semiautomatic,200,True,
deidentification_method,automatic,automatic,200,True,
deidentification_method,Not applicable,Not applicable,200,True,
medical_history_category,Autoimmune Disease,Autoimmune Disease,200,True,
medical_history_category,Cancer,Cancer,200,True,
medical_history_category,Congenital Anomaly,Congenital Anomaly,200,True,
medical_history_category,Structural Birth Defect,Structural Birth Defect,200,True,
medical_history_category,Genetic Syndrome,Genetic Syndrome,200,True,
medical_history_category,Not Reported,Not Reported,200,True,
medical_history_category,Unknown,Unknown,200,True,
alcohol_history,Yes,Yes,200,True,
alcohol_history,No,No ,200,True,
alcohol_history,Unknown,Unknown,200,True,
alcohol_history,Not Reported,Not Reported,200,True,
alcohol_intensity,Drinker,Drinker,200,True,
alcohol_intensity,Heavy Drinker,Heavy Drinker,200,True,
alcohol_intensity,Lifelong Non-Drinker,Lifelong Non-Drinker,200,True,
alcohol_intensity,Non-Drinker,Non-Drinker,200,True,
alcohol_intensity,Occasional Drinker,Occasional Drinker,200,True,
alcohol_intensity,Unknown,Unknown,200,True,
alcohol_intensity,Not Reported,Not Reported,200,True,
asbestos_exposure,Yes,Yes,200,True,
asbestos_exposure,No,No ,200,True,
asbestos_exposure,Unknown,Unknown,200,True,
asbestos_exposure,Not Reported,Not Reported,200,True,
coal_dust_exposure,Yes,Yes,200,True,
coal_dust_exposure,No,No ,200,True,
coal_dust_exposure,Unknown,Unknown,200,True,
coal_dust_exposure,Not Reported,Not Reported,200,True,
environmental_tobacco_smoke_exposure,Yes,Yes,200,True,
environmental_tobacco_smoke_exposure,No,No ,200,True,
environmental_tobacco_smoke_exposure,Unknown,Unknown,200,True,
environmental_tobacco_smoke_exposure,Not Reported,Not Reported,200,True,
radon_exposure,Yes,Yes,200,True,
radon_exposure,No,No ,200,True,
radon_exposure,Unknown,Unknown,200,True,
radon_exposure,Not Reported,Not Reported,200,True,
respirable_crystalline_silica_exposure,Yes,Yes,200,True,
respirable_crystalline_silica_exposure,No,No ,200,True,
respirable_crystalline_silica_exposure,Unknown,Unknown,200,True,
respirable_crystalline_silica_exposure,Not Reported,Not Reported,200,True,
smoking_frequency,Every day,Every day,200,True,
smoking_frequency,Some days,Some days,200,True,
smoking_frequency,Not Reported,Not Reported,200,True,
smoking_frequency,Unknown,Unknown,200,True,
time_between_waking_and_first_smoke,Within 5 Minutes,Within 5 Minutes,200,True,
time_between_waking_and_first_smoke,6-30 Minutes,6-30 Minutes,200,True,
time_between_waking_and_first_smoke,31-60 Minutes,31-60 Minutes,200,True,
time_between_waking_and_first_smoke,After 60 Minutes,After 60 Minutes,200,True,
time_between_waking_and_first_smoke,Not Reported,Not Reported,200,True,
time_between_waking_and_first_smoke,Unknown,Unknown,200,True,
tobacco_smoking_status,1 (Lifelong Non-Smoker),1 (Lifelong Non-Smoker),200,True,
tobacco_smoking_status,2 (Current Smoker),2 (Current Smoker),200,True,
tobacco_smoking_status,3 (Current Reformed Smoker for > 15 yrs),3 (Current Reformed Smoker for > 15 yrs),200,True,
tobacco_smoking_status,4 (Current Reformed Smoker for < or = 15 yrs),4 (Current Reformed Smoker for < or = 15 yrs),200,True,
tobacco_smoking_status,"5 (Current Reformed Smoker, Duration Not Specified)","5 (Current Reformed Smoker, Duration Not Specified)",200,True,
tobacco_smoking_status,7 (Smoking history not documented),7 (Smoking history not documented),200,True,
tobacco_smoking_status,Unknown,Unknown,200,True,
tobacco_smoking_status,Not Reported,Not Reported,200,True,
last_known_survival_status,Alive,Alive,200,True,
last_known_survival_status,Dead,Dead,200,True,
last_known_survival_status,Not Reported,Not Reported,200,True,
last_known_survival_status,Unknown,Unknown,200,True,
last_known_survival_status,Unspecified,Unspecified,200,True,
first_event,Progression,Progression,200,True,
first_event,Relapse,Relapse,200,True,
first_event,Second Malignant Neoplasm,Second Malignant Neoplasm,200,True,
first_event,Death,Death,200,True,
first_event,Not Reported,Not Reported,200,True,
first_event,Not Applicable,Not Applicable,200,True,
first_event,Unknown,Unknown,200,True,
event_free_survival_status,Censored,Censored,200,True,
event_free_survival_status,Not Censored,Not Censored,200,True,
event_free_survival_status,Not Reported,Not Reported,200,True,
event_free_survival_status,Unknown,Unknown,200,True,
follow_up_category,adverse_event,adverse_event,200,True,
follow_up_category,comorbidity,comorbidity,200,True,
follow_up_category,risk_factor,risk_factor,200,True,
follow_up_category,other,other,200,True,
cause_of_death,Due to non-study treatment,Non-Study Treatment Relationship,200,True,
cause_of_death,Due to other cause,Other Reason,200,True,
cause_of_death,Due to protocol treatment,Therapy-Related Toxicity,200,True,
cause_of_death,Due to secondary primary cancer,Second Primary Malignant Neoplasm,200,True,
cause_of_death,Due to this disease,Primary Disease or Disorder,200,True,
cause_of_death,Unknown,Unknown,200,True,
laboratory_test_method,Comparative Genomic Hybridization,Comparative Genomic Hybridization,200,True,
laboratory_test_method,"Cytogenetics, NOS","Cytogenetics, NOS",200,True,
laboratory_test_method,FISH,FISH,200,True,
laboratory_test_method,Flow Cytometry,Flow Cytometry,200,True,
laboratory_test_method,IHC,Immunohistochemistry Staining Method,200,True,
laboratory_test_method,ISH,ISH,200,True,
laboratory_test_method,Karyotype,Karyotype,200,True,
laboratory_test_method,Microarray,Microarray,200,True,
laboratory_test_method,Microsatellite Analysis,Microsatellite Analysis,200,True,
laboratory_test_method,Nuclear Staining,Nuclear Staining,200,True,
laboratory_test_method,Other,Other,200,True,
laboratory_test_method,RNA Sequencing,RNA Sequencing,200,True,
laboratory_test_method,RT-PCR,RT-PCR,200,True,
laboratory_test_method,"Sequencing, NOS","Sequencing, NOS",200,True,
laboratory_test_method,Southern Blotting,Southern Blotting,200,True,
laboratory_test_method,Targeted Sequencing,Targeted Sequencing,200,True,
laboratory_test_method,WGS,Whole Genome Sequencing,200,True,
