prop_handle,enum_value,description,model_handle,version_string,node_handle
organ_or_tissue,Peripheral nerves and autonomic nervous system of thorax,Site where images are associated,,,
organ_or_tissue,Peripheral nerves and autonomic nervous system of pelvis,Site where images are associated,,,
organ_or_tissue,Peripheral nerves and autonomic nervous system of lower limb and hip,Site where images are associated,,,
organ_or_tissue,"Peripheral nerves and autonomic nervous system of head, face, and neck",Site where images are associated,,,
organ_or_tissue,Peripheral nerves and autonomic nervous system of abdomen,Site where images are associated,,,
organ_or_tissue,Retina,Site where images are associated,,,
organ_or_tissue,"Reticuloendothelial system, NOS",Site where images are associated,,,
organ_or_tissue,Renal pelvis,Site where images are associated,,,
organ_or_tissue,"Rectum, NOS",Site where images are associated,,,
organ_or_tissue,Rectosigmoid junction,Site where images are associated,,,
organ_or_tissue,Pyriform sinus,Site where images are associated,,,
organ_or_tissue,Pylorus,Site where images are associated,,,
organ_or_tissue,Prostate gland,Site where images are associated,,,
organ_or_tissue,Prepuce,Site where images are associated,,,
organ_or_tissue,Posterior wall of oropharynx,Site where images are associated,,,
organ_or_tissue,Posterior wall of nasopharynx,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of corpus uteri,Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of connective, subcutaneous and other soft tissues",Site where images are associated,,,
organ_or_tissue,Overlapping lesion of colon,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of cervix uteri,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of breast,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of brain,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of bladder,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of biliary tract,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of accessory sinuses,Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of rectum, anus and anal canal",Site where images are associated,,,
organ_or_tissue,Overlapping lesion of peripheral nerves and autonomic nervous system,Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of heart, mediastinum and pleura",Site where images are associated,,,
organ_or_tissue,Overlapping lesion of eye and adnexa,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of brain and central nervous system,Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of bones, joints and articular cartilage of limbs",Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of bones, joints and articular cartilage",Site where images are associated,,,
organ_or_tissue,Posterior wall of hypopharynx,Site where images are associated,,,
organ_or_tissue,Posterior wall of bladder,Site where images are associated,,,
