prop_handle,enum_value,http_status,passed,notes
organ_or_tissue,Peripheral nerves and autonomic nervous system of upper limb and shoulder,200,True,
organ_or_tissue,"Peripheral nerves and autonomic nervous system of trunk, NOS",200,True,
organ_or_tissue,Peripheral nerves and autonomic nervous system of thorax,200,True,
organ_or_tissue,Peripheral nerves and autonomic nervous system of pelvis,200,True,
organ_or_tissue,Peripheral nerves and autonomic nervous system of lower limb and hip,200,True,
organ_or_tissue,"Peripheral nerves and autonomic nervous system of head, face, and neck",200,True,
organ_or_tissue,Peripheral nerves and autonomic nervous system of abdomen,200,True,
organ_or_tissue,Retina,200,True,
organ_or_tissue,"Reticuloendothelial system, NOS",200,True,
organ_or_tissue,Renal pelvis,200,True,
organ_or_tissue,"Rectum, NOS",200,True,
organ_or_tissue,Rectosigmoid junction,200,True,
organ_or_tissue,Pyriform sinus,200,True,
organ_or_tissue,Pylorus,200,True,
organ_or_tissue,Prostate gland,200,True,
organ_or_tissue,Prepuce,200,True,
organ_or_tissue,Posterior wall of oropharynx,200,True,
organ_or_tissue,Posterior wall of nasopharynx,200,True,
organ_or_tissue,Overlapping lesion of corpus uteri,200,True,
organ_or_tissue,"Overlapping lesion of connective, subcutaneous and other soft tissues",200,True,
organ_or_tissue,Overlapping lesion of colon,200,True,
organ_or_tissue,Overlapping lesion of cervix uteri,200,True,
organ_or_tissue,Overlapping lesion of breast,200,True,
organ_or_tissue,Overlapping lesion of brain,200,True,
organ_or_tissue,Overlapping lesion of bladder,200,True,
organ_or_tissue,Overlapping lesion of biliary tract,200,True,
organ_or_tissue,Overlapping lesion of accessory sinuses,200,True,
organ_or_tissue,"Overlapping lesion of rectum, anus and anal canal",200,True,
organ_or_tissue,Overlapping lesion of peripheral nerves and autonomic nervous system,200,True,
organ_or_tissue,"Overlapping lesion of heart, mediastinum and pleura",200,True,
organ_or_tissue,Overlapping lesion of eye and adnexa,200,True,
organ_or_tissue,Overlapping lesion of brain and central nervous system,200,True,
organ_or_tissue,"Overlapping lesion of bones, joints and articular cartilage of limbs",200,True,
organ_or_tissue,"Overlapping lesion of bones, joints and articular cartilage",200,True,
organ_or_tissue,Posterior wall of hypopharynx,200,True,
organ_or_tissue,Posterior wall of bladder,200,True,
organ_or_tissue,Posterior mediastinum,200,True,
organ_or_tissue,Postcricoid region,200,True,
organ_or_tissue,"Pleura, NOS",200,True,
longitudinal_temporal_event_type,Enrollment,200,True,
longitudinal_temporal_event_type,Baseline,200,True,
tumor_tissue_type,Tumor specimen from de novo untreated malignancy of the bladder,200,True,
tumor_tissue_type,Recurrent,200,True,
tumor_tissue_type,Metastatic,200,True,
tumor_tissue_type,Primary,200,True,
tumor_tissue_type,Additional Primary,200,True,
tumor_tissue_type,NOS,200,True,
tumor_tissue_type,Xenograft,200,True,
tumor_tissue_type,Premalignant,200,True,
tumor_tissue_type,Local recurrence,200,True,
tumor_tissue_type,Not reported,200,True,
tumor_tissue_type,Not applicable,200,True,
tumor_tissue_type,Unknown,200,True,
tumor_tissue_type,Atypia or hyperplasia,200,True,
tumor_tissue_type,Normal adjacent,200,True,
tumor_tissue_type,Normal distant,200,True,
tumor_tissue_type,Normal,200,True,
tumor_tissue_type,Tumor post-adjuvant therapy,200,True,
tumor_tissue_type,Tumor post-neoadjuvant therapy,200,True,
tumor_tissue_type,Tumor post-therapy,200,True,
tumor_tissue_type,Tissue,200,True,
tumor_tissue_type,Premalignant - in situ,200,True,
imaging_assay_type,H&E,200,True,
imaging_assay_type,SABER,200,True,
imaging_assay_type,MxIF,200,True,
imaging_assay_type,mIHC,200,True,
imaging_assay_type,IHC,200,True,
imaging_assay_type,t-CyCIF,200,True,
imaging_assay_type,IMC,200,True,
imaging_assay_type,GeoMX-DSP,200,True,
imaging_assay_type,CODEX,200,True,
imaging_assay_type,MIBI,200,True,
imaging_assay_type,Not Applicable,200,True,
imaging_assay_type,ExSeq,200,True,
imaging_assay_type,MERFISH,200,True,
imaging_assay_type,CyCIF,200,True,
pyramid,False,200,True,
pyramid,True,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OP,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,PR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,PT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,PX,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RF,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RTDOSE,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RTIMAGE,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RTPLAN,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RTRECORD,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RTSTRUCT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,SM,200,True,
