prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
alteration,46XY,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,47XXX,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,47XXY,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,47XYY,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,48XXXX,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,48XXXY,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,8q Gain,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,AKT mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ALK Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ALK p.R1275L mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ALK Rearrangement,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ARID1A mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ATM mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BCOR mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BCOR Rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BCOR-MAML3,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BCR-ABL1 Fusion,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BRAF Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BRAF V600E,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,BRCA2 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CCNB3-BCOR,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CCND1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CCND2 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CDK4 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CDKN2A,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CDKN2A Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CEBPA mutation - biallelic,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CEBPA mutation - monoallelic,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CEBPA mutation - mutation unspecified,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Chromosome 11 Loss,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Chromosome 14q Loss,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CIC Rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CIC-DUX4,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CIC-DUX4L10,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CKIT mutation - ex17,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CKIT mutation - ex8,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CKIT mutation - unspecified,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Complex karyotype,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,CTNNB1 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,del(13q) (13q 14 - 21),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,del(17p),del(17p),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,del(5q)(5q31-q32),del(5q)(5q31-q32),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
